City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Freeport,US,40.6576,-73.5832,62.11,59,75,8.99,broken clouds
170,Catuday,PH,16.2923,119.8062,79.43,70,100,9.98,overcast clouds
171,Sitka,US,57.0531,-135.33,46.29,49,75,16.11,light rain
172,Erenhot,CN,43.6475,111.9767,24.13,76,2,9.37,clear sky
173,Vincennes,FR,48.85,2.4333,45.63,90,3,1.14,clear sky
174,Sorland,NO,67.667,12.6934,44.46,70,100,17.94,overcast clouds
175,Vao,NC,-22.6667,167.4833,73.94,82,81,11.34,broken clouds
176,Neuquen,AR,-38.9516,-68.0591,82.29,57,40,5.75,scattered clouds
177,Sao Borja,BR,-28.6606,-56.0044,90.95,34,0,11.27,clear sky
178,Kontagora,NG,10.3999,5.4695,84.02,40,75,2.08,broken clouds
179,Ouango,CF,4.3133,22.5552,70.7,96,100,0.94,light rain
180,Saint-Pierre,RE,-21.3393,55.4781,74.88,70,40,4.61,scattered clouds
181,Lebu,CL,-37.6167,-73.65,59.04,77,100,7.38,overcast clouds
182,Pevek,RU,69.7008,170.3133,-4.77,98,77,5.66,broken clouds
183,Baijiantan,CN,45.6333,85.1833,26.15,75,0,2.1,clear sky
184,Ilinskiy,RU,55.619,38.1182,37.38,93,90,6.71,overcast clouds
185,Ambagarh Chauki,IN,20.7833,80.7167,67.05,56,100,6.62,overcast clouds
186,Warwick,US,41.7001,-71.4162,59.85,39,75,5.75,broken clouds
187,Vieques,PR,18.425,-65.8329,87.84,62,40,17.27,scattered clouds
188,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,68,90,5.75,overcast clouds
189,Norman Wells,CA,65.282,-126.8329,6.84,85,75,6.91,broken clouds
190,Codrington,AU,-38.2667,141.9667,50.14,88,100,19.13,overcast clouds
191,Saldanha,ZA,-33.0117,17.9442,64.45,89,4,18.92,clear sky
192,Banda Aceh,ID,5.5577,95.3222,77.92,83,100,2.62,light rain
193,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,81,75,1.99,broken clouds
194,Verkhoyansk,RU,67.5447,133.385,-10.41,100,100,1.9,overcast clouds
195,Ipubi,BR,-7.6519,-40.1489,87.67,34,84,3.18,broken clouds
196,Brae,GB,60.3964,-1.353,44.51,73,100,8.63,overcast clouds
197,Kavieng,PG,-2.5744,150.7967,81.0,80,100,6.91,light rain
198,Lima,PE,-12.0432,-77.0282,69.13,73,75,8.05,broken clouds
199,Aykhal,RU,66.0,111.5,-4.05,99,99,8.21,overcast clouds
