City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
636,Ambanja,MG,75.72,light rain,-13.6833,48.45,Hotel Salama and Fast Food
637,Rabo De Peixe,PT,72.28,scattered clouds,37.8,-25.5833,Quinta das Giestas
639,Poya,NC,75.87,broken clouds,-21.35,165.15,
643,Waddan,LY,68.72,clear sky,29.1614,16.139,محل الشريف محمد العايب
645,Bima,ID,77.72,overcast clouds,-8.4667,118.7167,Lambitu Hotel
646,Kaoma,ZM,69.37,few clouds,-14.7833,24.8,KAOMA AIRPORT
647,Ondjiva,AO,79.2,broken clouds,-17.0667,15.7333,COMBUESA
652,Trelew,AR,72.64,overcast clouds,-43.249,-65.3051,Hotel Touring Club
654,El Espinal,MX,84.11,clear sky,16.3333,-94.0667,
655,Rio Verde De Mato Grosso,BR,84.74,overcast clouds,-18.9181,-54.8442,Hotel Valência
659,Makakilo City,US,77.68,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
660,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
662,Wote,KE,69.98,broken clouds,-1.7808,37.6288,Midways Hotel
663,Hervey Bay,AU,76.03,light rain,-25.2986,152.8535,Shelly Bay Resort
665,Urucara,BR,82.98,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
667,Tiarei,PF,82.42,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
668,Ransang,PH,79.81,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
673,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
674,Mutis,CO,80.1,light rain,6.2262,-77.4044,Paraiso Escondido
677,Nanga Eboko,CM,69.84,light rain,4.6833,12.3667,Motel Papi Palace
679,Daru,PG,79.84,scattered clouds,-9.0763,143.2092,Daru Lodge
686,Saint-Leu,RE,74.26,scattered clouds,-21.15,55.2833,La Caz Oceane
687,Santa Rosa,PH,82.11,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
689,Pilar,BR,84.13,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
690,Mobile,US,74.46,broken clouds,30.7835,-88.2,Days Inn by Wyndham North Mobile
696,Najran,SA,68.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
697,Kailua,US,79.14,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
698,Paringao,PH,78.42,broken clouds,16.5717,120.3242,Sunset Bay Beach Resort
